ref	value	footprint	Item count
C101	22u		1
C102	22uF		1
C103..C107	10n		5
C108	100p		1
C109..C112	22u		4
C113	100p		1
C114	10p		1
C115	22u		1
C116..C134	10n		19
C135	22uF		1
D101	LED		1
D102	IRled		1
D103	LED		1
D104	rLED_Actinic		1
D105	SMALL_DIODE_PHOTODIODE	BPW	1
J101,J102	SIL14		2
J103	SDCARD	~	1
K101	CONN_3		1
L101..L104	1m	~	4
L105	INDUCTOR		1
Q101..Q103	SI3460DDV		3
Q104	NPN		1
R101	2		1
R102..R105	3.3K		4
R106	22		1
R107	3300		1
R108	470		1
R109	2		1
R110,R111	22		2
R112	27K		1
R113	3.3		1
R114	100		1
R115..R130	3.3K		16
R131	1k		1
R132..R134	100		3
R135	1K		1
R136	2K7		1
U101	TL1963		1
U102	DG4157DL-T1-E3		1
U103	LM358	1/2 so8	1
U104	LM5111	8MSOP	1
U105	LM358	1/2 so8	1
U106	TL431	SOT23	1
U107,U108	DG4157DL-T1-E3		2
U109	TL1963		1
